regime,family,n,tau_hat,rho_hat,param_tau,ll_tau,param_mle,ll_mle,AIC,BIC,lambda_l,lambda_u,success
full,gaussian,5854,0.21770842022587744,0.30624837296441554,0.33534893381470493,294.6646624191795,0.3113037719711648,297.0063823129831,-592.0127646259662,-585.3378841587144,0.0,0.0,True
full,gumbel,5854,0.21770842022587744,0.30624837296441554,1.2782957478447334,392.16631459919904,1.2773298891552587,392.1692056459917,-782.3384112919834,-775.6635308247317,0.0,0.27943414444158865,True
full,clayton,5854,0.21770842022587744,0.30624837296441554,0.556591495689467,215.65548534840542,0.39382675473435036,245.29154339377692,-488.58308678755384,-481.908206320302,0.17203958136402991,0.0,True
calm,gaussian,4295,0.22311853129935286,0.3167865869971837,0.3433428150069604,235.98036473936023,0.3658622904116473,237.2648082407045,-472.529616481409,-466.16440964699063,0.0,0.0,True
calm,gumbel,4295,0.22311853129935286,0.3167865869971837,1.2871976489187262,295.8171557444416,1.3341044973146143,299.8596366803665,-597.719273360733,-591.3540665263147,0.0,0.31871247130828917,True
calm,clayton,4295,0.22311853129935286,0.3167865869971837,0.5743952978374525,191.92265292221578,0.5020864547160759,195.27592804607826,-388.5518560921565,-382.18664925773817,0.25144436672574316,0.0,True
stressed,gaussian,1559,0.2072748981077132,0.28878073881996674,0.3198646688361475,64.61374850772657,0.2363985848132884,75.99991517100625,-149.9998303420125,-144.64803047295473,0.0,0.0,True
stressed,gumbel,1559,0.2072748981077132,0.28878073881996674,1.2614713443701158,101.41392307945992,1.1925849342144816,107.91069507069774,-213.82139014139548,-208.4695902723377,0.0,0.21179182109366645,True
stressed,clayton,1559,0.2072748981077132,0.28878073881996674,0.5229426887402315,31.4514619559501,0.2632681540869262,67.73844417217583,-133.47688834435166,-128.1250884752939,0.07187288851387592,0.0,True
